Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-04-23,25.18714447430202,25.258953866958617,25.097382733481272,25.13328742980957,106000,23,4,16,4,1993
1993-04-26,25.151220939586796,25.240982613175614,24.86398358410258,24.935792922973633,62600,26,0,17,4,1993
1993-04-27,24.89990350663492,25.205093383789062,24.89990350663492,25.205093383789062,156800,27,1,17,4,1993
1993-04-28,25.16918792561239,25.223044961116553,25.115330890108226,25.151235580444336,85900,28,2,17,4,1993
1993-04-29,25.205094148355254,25.25895118713379,25.061475378279155,25.25895118713379,85000,29,3,17,4,1993
1993-04-30,25.348719800593077,25.4384815562609,25.294862747192383,25.294862747192383,88500,30,4,17,4,1993
1993-05-03,25.330754504721657,25.4564208984375,25.223040452965222,25.4564208984375,80500,3,0,18,5,1993
1993-05-04,25.510298899840237,25.635965396883783,25.474394186399223,25.54620361328125,149100,4,1,18,5,1993
1993-05-05,25.54618683609832,25.7077579404728,25.54618683609832,25.617996215820312,109000,5,2,18,5,1993
1993-05-06,25.582081959720405,25.60003429793775,25.510272606851014,25.52822494506836,54700,6,3,18,5,1993
1993-05-07,25.546189881446413,25.546189881446413,25.438475799022886,25.474380493164062,68000,7,4,18,5,1993
1993-05-10,25.510272606851014,25.67184365080714,25.510272606851014,25.52822494506836,113900,10,0,19,5,1993
1993-05-11,25.528230314495183,25.635944366455078,25.45642094652192,25.635944366455078,42600,11,1,19,5,1993
1993-05-12,25.52822345771094,25.61798514356787,25.52822345771094,25.600032806396484,31000,12,2,19,5,1993
1993-05-13,25.492338609661594,25.492338609661594,25.27691039605882,25.294862747192383,129100,13,3,19,5,1993
1993-05-14,25.294855498454787,25.366664882410657,25.258950806476854,25.27690315246582,63500,14,4,19,5,1993
1993-05-17,25.348720164477868,25.36667251586914,25.241006056130228,25.36667251586914,34000,17,0,20,5,1993
1993-05-18,25.38461761366544,25.402569959926875,25.258951189835415,25.348712921142578,105200,18,1,20,5,1993
1993-05-19,25.348698358582094,25.86931610107422,25.187127335050057,25.86931610107422,50200,19,2,20,5,1993
